transaction_id,timestamp,amount,hour,customer_age,account_age_days,num_transactions,previous_chargebacks,previous_returns,device_type,payment_method,location,transaction_frequency,failed_payment_attempts,is_new_device,days_since_last_transaction,avg_transaction_amount,merchant_category,is_fraud
TXN-100014,2026-05-26 19:25:00.387296+00:00,124.94,15,68,79,31,0,1,mobile,credit_card,FR-PAR,1.73,1,0,25,101.27,subscriptions,0
TXN-100015,2026-05-26 19:36:33.387296+00:00,18.59,8,68,53,16,0,0,mobile,debit_card,IN-DEL,4.97,0,1,3,59.76,subscriptions,1
TXN-100016,2026-05-26 20:44:07.387296+00:00,11.34,9,21,550,20,0,0,desktop,credit_card,BR-SAO,5.06,1,0,5,26.53,grocery,0
TXN-100017,2026-05-26 21:37:54.387296+00:00,153.88,13,42,275,27,0,2,desktop,debit_card,US-CA,6.91,0,0,1,95.92,fashion,0
TXN-100018,2026-05-27 00:37:02.387296+00:00,166.6,8,49,2036,12,0,0,mobile,credit_card,DE-BER,2.87,0,0,9,159.98,digital_goods,0
TXN-100019,2026-05-27 02:17:57.387296+00:00,144.85,16,71,183,11,0,1,tablet,bank_transfer,US-TX,3.11,6,0,4,70.12,luxury,1
TXN-100020,2026-05-27 03:10:38.387296+00:00,13.55,6,66,41,39,0,3,desktop,debit_card,BR-SAO,1.49,0,0,5,62.12,travel,0
TXN-100021,2026-05-27 06:00:35.387296+00:00,29.2,12,49,121,49,0,1,mobile,paypal,DE-BER,1.18,0,0,1,78.17,subscriptions,0
TXN-100022,2026-05-27 22:03:16.387296+00:00,34.36,22,77,77,68,0,2,tablet,debit_card,US-TX,1.01,0,1,3,53.15,digital_goods,0
TXN-100023,2026-05-28 04:11:26.387296+00:00,53.02,22,27,40,52,0,4,desktop,credit_card,IN-DEL,0.94,1,0,2,48.6,fashion,0
TXN-100024,2026-05-28 06:05:28.387296+00:00,46.26,16,62,472,4,0,1,mobile,paypal,AU-SYD,0.45,0,0,5,61.75,subscriptions,0
TXN-100025,2026-05-28 17:58:45.387296+00:00,69.03,6,32,2233,78,2,2,mobile,paypal,BR-SAO,1.45,0,1,1,53.73,electronics,0
TXN-100026,2026-05-29 02:40:31.387296+00:00,38.11,15,58,116,21,0,0,tablet,credit_card,SG-SIN,2.61,0,0,9,37.8,subscriptions,0
TXN-100027,2026-05-29 07:35:58.387296+00:00,61.89,15,29,134,30,0,1,desktop,credit_card,AU-SYD,2.53,0,0,0,84.92,electronics,0
TXN-100028,2026-05-29 13:57:35.387296+00:00,22.17,9,25,498,17,0,1,desktop,credit_card,US-TX,2.17,0,0,20,43.22,fashion,0
TXN-100029,2026-05-30 00:08:00.387296+00:00,144.79,21,52,56,20,0,3,tablet,debit_card,IN-DEL,4.52,3,0,2,139.22,travel,0
TXN-100030,2026-05-30 05:20:49.387296+00:00,31.72,2,32,138,7,0,0,mobile,debit_card,US-TX,4.26,0,0,14,47.97,subscriptions,0
TXN-100031,2026-05-30 07:25:53.387296+00:00,51.93,9,28,38,69,0,1,mobile,credit_card,FR-PAR,0.59,1,1,0,88.48,travel,0
TXN-100032,2026-05-30 08:10:50.387296+00:00,34.42,8,24,510,71,0,2,mobile,debit_card,BR-SAO,2.92,0,0,6,30.32,travel,0
TXN-100033,2026-05-30 12:57:55.387296+00:00,73.27,21,42,323,125,0,0,desktop,bank_transfer,DE-BER,4.32,1,0,0,40.48,digital_goods,0
TXN-100034,2026-05-31 04:22:52.387296+00:00,91.37,16,69,611,60,0,2,mobile,debit_card,SG-SIN,5.23,0,0,14,113.59,subscriptions,0
TXN-100035,2026-05-31 07:16:45.387296+00:00,109.75,10,38,268,68,0,0,mobile,bank_transfer,US-NY,0.56,0,0,0,86.78,travel,0
TXN-100036,2026-05-31 18:15:42.387296+00:00,9.07,12,75,324,86,0,2,mobile,credit_card,US-CA,4.89,1,0,3,47.25,luxury,0
TXN-100037,2026-05-31 22:28:40.387296+00:00,25.29,16,32,141,12,0,2,mobile,debit_card,US-NY,8.34,0,0,2,54.02,subscriptions,0
TXN-100038,2026-06-01 00:54:41.387296+00:00,80.81,16,30,966,34,0,1,mobile,bank_transfer,US-TX,1.73,0,0,9,135.68,subscriptions,1
TXN-100039,2026-06-01 19:47:53.387296+00:00,241.3,20,72,496,15,2,3,mobile,credit_card,FR-PAR,10.5,0,0,9,90.87,electronics,0
TXN-100040,2026-06-02 00:23:15.387296+00:00,50.32,20,72,165,2,0,1,tablet,credit_card,US-CA,4.47,0,1,5,51.47,luxury,0
TXN-100041,2026-06-02 05:59:36.387296+00:00,50.79,16,46,68,50,2,1,mobile,paypal,US-CA,3.56,0,0,6,46.41,luxury,0
TXN-100042,2026-06-03 05:11:51.387296+00:00,25.42,15,51,450,12,0,0,mobile,credit_card,US-CA,1.26,5,0,10,27.59,travel,0
TXN-100043,2026-06-03 08:13:18.387296+00:00,45.22,15,21,63,23,0,1,desktop,wallet,BR-SAO,1.15,0,0,14,27.02,subscriptions,0
TXN-100044,2026-06-03 13:56:43.387296+00:00,55.49,20,25,168,35,0,0,desktop,debit_card,AU-SYD,3.69,1,0,0,111.12,travel,0
TXN-100045,2026-06-03 15:39:56.387296+00:00,87.74,11,42,44,19,0,1,mobile,debit_card,GB-LON,6.98,1,0,12,73.21,subscriptions,0
TXN-100046,2026-06-03 18:27:56.387296+00:00,98.81,17,28,509,31,0,1,mobile,debit_card,BR-SAO,3.54,0,0,29,206.79,travel,0
TXN-100047,2026-06-03 20:33:20.387296+00:00,59.09,11,32,28,76,0,0,mobile,credit_card,BR-SAO,2.98,3,0,2,46.86,subscriptions,0
TXN-100048,2026-06-03 22:17:37.387296+00:00,53.93,16,48,80,22,0,1,mobile,bank_transfer,SG-SIN,2.19,2,0,14,110.39,grocery,1
TXN-100049,2026-06-03 23:16:53.387296+00:00,18.65,3,40,155,22,0,0,mobile,credit_card,DE-BER,1.4,0,0,2,24.4,fashion,0
TXN-100050,2026-06-04 02:39:33.387296+00:00,37.57,14,44,50,190,0,1,desktop,debit_card,BR-SAO,1.85,1,0,2,136.2,travel,0
TXN-100051,2026-06-04 05:29:38.387296+00:00,71.44,17,62,812,26,0,3,desktop,credit_card,SG-SIN,5.33,1,0,23,55.95,luxury,0
TXN-100052,2026-06-04 06:42:01.387296+00:00,109.45,17,22,207,23,2,2,mobile,debit_card,US-TX,2.14,0,1,8,57.4,grocery,0
TXN-100053,2026-06-04 08:47:41.387296+00:00,62.41,17,27,547,38,0,1,mobile,credit_card,US-CA,4.19,3,1,4,39.18,grocery,0
TXN-100054,2026-06-04 14:22:12.387296+00:00,31.24,11,34,114,10,4,1,tablet,paypal,US-NY,1.42,0,0,4,45.88,luxury,1
TXN-100055,2026-06-05 05:52:55.387296+00:00,25.31,8,32,654,20,0,0,desktop,credit_card,BR-SAO,0.6,0,0,10,27.99,digital_goods,0
TXN-100056,2026-06-05 07:11:15.387296+00:00,30.58,12,18,435,20,1,1,tablet,credit_card,GB-LON,1.15,1,0,3,29.64,luxury,1
TXN-100057,2026-06-05 21:11:13.387296+00:00,19.57,12,43,337,133,0,0,mobile,credit_card,US-NY,2.33,0,1,3,28.41,luxury,0
TXN-100058,2026-06-06 02:08:01.387296+00:00,46.22,12,25,397,34,0,0,mobile,debit_card,AU-SYD,2.92,1,0,4,27.11,travel,0
TXN-100059,2026-06-06 10:42:37.387296+00:00,84.33,5,62,509,4,0,3,mobile,credit_card,US-CA,3.33,0,1,11,49.74,electronics,0
TXN-100060,2026-06-06 12:28:16.387296+00:00,143.78,8,55,1389,92,0,0,desktop,paypal,AU-SYD,0.24,4,0,2,140.44,luxury,0
TXN-100061,2026-06-06 17:40:42.387296+00:00,71.05,11,32,2765,74,0,2,tablet,credit_card,US-TX,4.06,0,0,6,58.98,luxury,0
TXN-100062,2026-06-06 19:10:52.387296+00:00,26.61,8,48,319,33,0,1,tablet,credit_card,BR-SAO,6.05,1,0,4,29.63,digital_goods,0
TXN-100063,2026-06-06 22:27:33.387296+00:00,36.3,11,46,288,24,0,1,tablet,credit_card,US-CA,0.67,0,0,27,49.34,travel,0
TXN-100064,2026-06-07 02:12:22.387296+00:00,41.74,13,56,547,29,0,2,mobile,credit_card,US-NY,1.07,0,0,3,48.69,grocery,1
TXN-100065,2026-06-07 14:20:10.387296+00:00,34.31,21,26,119,10,0,0,mobile,bank_transfer,GB-LON,7.92,0,1,0,43.72,luxury,0
TXN-100066,2026-06-07 18:17:58.387296+00:00,247.84,14,64,136,11,0,1,desktop,credit_card,IN-DEL,1.45,3,0,3,217.09,fashion,0
TXN-100067,2026-06-07 22:41:18.387296+00:00,127.15,11,19,510,16,0,1,mobile,debit_card,SG-SIN,2.02,0,0,1,84.27,grocery,0
TXN-100068,2026-06-08 04:32:24.387296+00:00,45.04,10,45,154,14,0,0,mobile,credit_card,GB-LON,3.9,1,0,0,53.9,fashion,0
TXN-100069,2026-06-08 07:02:32.387296+00:00,74.76,15,30,883,9,0,2,mobile,paypal,AU-SYD,2.33,1,0,3,83.01,grocery,0
TXN-100070,2026-06-08 09:45:03.387296+00:00,107.15,15,34,71,14,0,0,mobile,debit_card,BR-SAO,1.76,0,0,17,133.54,electronics,0
TXN-100071,2026-06-08 11:38:24.387296+00:00,43.84,12,68,712,37,1,0,desktop,debit_card,BR-SAO,1.61,0,0,1,50.88,grocery,0
TXN-100072,2026-06-09 01:59:13.387296+00:00,67.4,20,25,281,78,0,4,desktop,paypal,FR-PAR,2.32,0,0,9,49.67,fashion,0
TXN-100073,2026-06-09 07:02:49.387296+00:00,22.11,2,62,100,28,1,0,desktop,paypal,DE-BER,0.92,1,0,13,28.18,subscriptions,0
TXN-100074,2026-06-09 07:15:16.387296+00:00,83.0,21,60,876,27,0,1,mobile,credit_card,SG-SIN,2.77,1,0,3,99.98,digital_goods,0
TXN-100075,2026-06-09 07:51:28.387296+00:00,81.4,22,35,32,45,0,1,tablet,debit_card,DE-BER,1.4,0,0,6,160.1,subscriptions,0
TXN-100076,2026-06-09 10:13:31.387296+00:00,24.92,11,54,3148,10,0,1,desktop,credit_card,GB-LON,0.4,1,0,8,42.55,travel,0
TXN-100077,2026-06-09 12:21:00.387296+00:00,66.49,21,46,172,44,0,1,desktop,credit_card,SG-SIN,1.54,1,1,17,59.35,grocery,0
TXN-100078,2026-06-09 16:07:39.387296+00:00,18.66,15,58,318,92,0,0,desktop,debit_card,BR-SAO,2.19,0,0,19,34.71,digital_goods,0
TXN-100079,2026-06-10 00:05:28.387296+00:00,65.15,9,60,273,20,4,2,desktop,credit_card,DE-BER,1.24,1,0,6,74.55,electronics,0
TXN-100080,2026-06-10 06:27:27.387296+00:00,14.8,9,41,244,26,0,0,desktop,debit_card,FR-PAR,2.33,3,0,9,18.47,subscriptions,0
TXN-100081,2026-06-10 15:03:38.387296+00:00,32.3,17,54,300,15,0,1,mobile,bank_transfer,US-NY,4.83,2,0,1,57.0,subscriptions,0
TXN-100082,2026-06-10 20:08:25.387296+00:00,18.15,16,63,449,183,0,2,mobile,debit_card,FR-PAR,1.04,0,0,7,31.75,subscriptions,0
TXN-100083,2026-06-11 03:19:21.387296+00:00,14.24,16,63,291,40,0,2,desktop,credit_card,GB-LON,2.99,0,0,11,32.12,fashion,0
TXN-100084,2026-06-11 13:15:03.387296+00:00,95.3,9,67,188,189,0,1,mobile,debit_card,US-NY,1.9,0,0,10,122.73,digital_goods,0
TXN-100085,2026-06-11 13:17:25.387296+00:00,123.69,20,35,409,10,0,0,mobile,wallet,FR-PAR,0.25,0,1,2,74.36,luxury,0
TXN-100086,2026-06-11 15:20:11.387296+00:00,83.13,17,66,943,66,0,0,desktop,paypal,BR-SAO,5.76,3,1,0,56.97,travel,0
TXN-100087,2026-06-11 19:07:49.387296+00:00,26.74,9,40,530,78,0,1,tablet,paypal,US-NY,2.57,0,0,1,56.72,electronics,0
TXN-100088,2026-06-12 06:50:23.387296+00:00,83.25,11,54,508,14,0,3,mobile,bank_transfer,AU-SYD,3.08,0,0,8,104.03,grocery,0
TXN-100089,2026-06-12 08:50:43.387296+00:00,93.68,12,49,119,9,0,0,mobile,wallet,AU-SYD,2.24,0,0,0,46.08,travel,0
TXN-100090,2026-06-12 11:08:37.387296+00:00,59.16,16,61,333,27,1,1,desktop,bank_transfer,FR-PAR,4.46,0,0,1,44.32,electronics,0
TXN-100091,2026-06-12 16:40:35.387296+00:00,170.59,17,25,551,17,0,2,mobile,credit_card,BR-SAO,4.24,0,0,12,108.04,grocery,0
TXN-100092,2026-06-13 17:40:29.387296+00:00,27.2,7,38,281,17,0,0,mobile,credit_card,US-TX,0.36,0,0,7,76.65,luxury,0
TXN-100093,2026-06-13 18:26:31.387296+00:00,31.23,15,68,2924,30,1,0,mobile,debit_card,US-NY,1.36,2,0,5,39.25,digital_goods,0
TXN-100094,2026-06-13 19:02:13.387296+00:00,102.59,9,39,333,17,0,2,mobile,debit_card,GB-LON,0.5,2,0,4,75.63,digital_goods,0
TXN-100095,2026-06-14 00:29:40.387296+00:00,99.17,9,52,1051,26,0,1,mobile,credit_card,BR-SAO,1.22,0,0,13,104.24,electronics,0
TXN-100096,2026-06-14 10:53:33.387296+00:00,47.24,5,30,104,16,0,4,desktop,credit_card,US-TX,3.66,1,0,5,77.98,fashion,0
TXN-100097,2026-06-14 14:13:15.387296+00:00,27.64,10,25,260,11,0,1,desktop,credit_card,US-NY,7.3,0,0,2,63.0,fashion,0
TXN-100098,2026-06-14 14:16:49.387296+00:00,250.91,2,32,368,43,0,1,desktop,credit_card,US-TX,0.63,2,0,21,109.44,travel,0
TXN-100099,2026-06-14 15:03:43.387296+00:00,77.36,19,46,31,10,0,1,desktop,paypal,IN-DEL,1.63,0,0,9,107.53,fashion,0
TXN-100100,2026-06-14 16:31:50.387296+00:00,67.89,9,41,701,60,0,0,mobile,bank_transfer,DE-BER,5.16,0,0,12,87.95,subscriptions,0
TXN-100101,2026-06-14 21:23:27.387296+00:00,22.98,18,65,538,100,0,1,mobile,credit_card,IN-DEL,1.03,0,0,2,44.83,travel,1
TXN-100102,2026-06-15 03:05:29.387296+00:00,233.99,21,62,182,36,0,2,mobile,credit_card,DE-BER,1.54,2,0,18,239.67,digital_goods,0
TXN-100103,2026-06-15 10:55:38.387296+00:00,46.79,12,31,274,20,0,1,mobile,debit_card,US-CA,3.72,0,0,2,82.13,subscriptions,0
TXN-100104,2026-06-15 18:21:50.387296+00:00,52.23,19,50,456,151,1,0,mobile,credit_card,DE-BER,0.71,0,0,2,53.82,grocery,0
TXN-100105,2026-06-15 18:38:44.387296+00:00,179.75,22,65,421,11,0,2,mobile,bank_transfer,AU-SYD,1.3,0,0,0,97.26,luxury,0
TXN-100106,2026-06-15 22:29:16.387296+00:00,89.32,16,42,117,122,0,1,mobile,credit_card,US-TX,1.7,0,0,5,80.86,fashion,0
TXN-100107,2026-06-16 01:31:52.387296+00:00,49.85,12,76,181,23,0,0,desktop,credit_card,IN-DEL,6.01,3,0,1,95.66,fashion,1
TXN-100108,2026-06-16 02:03:12.387296+00:00,38.97,15,24,85,93,0,0,mobile,bank_transfer,AU-SYD,3.8,0,1,13,41.94,electronics,0
TXN-100109,2026-06-16 05:08:13.387296+00:00,39.73,20,36,103,84,0,4,mobile,wallet,US-CA,4.02,0,1,12,30.96,luxury,0
TXN-100110,2026-06-16 18:13:48.387296+00:00,140.73,6,61,149,2,0,1,mobile,credit_card,DE-BER,2.62,2,0,2,137.68,luxury,1
TXN-100111,2026-06-16 18:19:01.387296+00:00,34.44,19,27,337,7,0,0,desktop,credit_card,AU-SYD,2.57,1,0,5,76.8,subscriptions,0
TXN-100112,2026-06-16 23:14:22.387296+00:00,37.86,21,52,791,37,0,1,mobile,credit_card,US-NY,2.43,0,0,0,64.71,subscriptions,0
TXN-100113,2026-06-17 05:35:49.387296+00:00,139.3,17,38,156,9,0,1,mobile,credit_card,DE-BER,1.17,2,0,12,67.15,grocery,0
TXN-100114,2026-06-17 15:45:11.387296+00:00,15.14,16,70,195,68,0,0,desktop,bank_transfer,US-TX,1.64,3,1,16,64.6,luxury,0
TXN-100115,2026-06-17 20:42:08.387296+00:00,17.96,19,40,4000,16,0,2,mobile,bank_transfer,US-NY,4.97,0,0,2,16.87,digital_goods,0
TXN-100116,2026-06-17 23:29:22.387296+00:00,84.38,15,35,461,101,1,1,mobile,credit_card,DE-BER,2.56,0,0,5,65.42,electronics,0
TXN-100117,2026-06-18 09:37:45.387296+00:00,38.52,8,37,690,70,0,0,desktop,paypal,AU-SYD,1.37,1,0,7,60.31,subscriptions,0
TXN-100118,2026-06-18 23:23:52.387296+00:00,22.41,12,74,262,24,0,0,mobile,wallet,IN-DEL,2.6,1,0,17,31.73,fashion,0
TXN-100119,2026-06-19 01:04:02.387296+00:00,41.55,14,47,279,20,1,0,mobile,bank_transfer,DE-BER,3.27,1,0,5,56.39,luxury,0
TXN-100120,2026-06-19 01:26:20.387296+00:00,42.75,10,29,203,21,0,0,desktop,credit_card,FR-PAR,0.4,2,0,2,50.25,subscriptions,0
TXN-100121,2026-06-19 01:59:00.387296+00:00,95.49,10,55,1806,13,0,1,mobile,credit_card,US-CA,3.99,0,1,5,32.26,luxury,0
TXN-100122,2026-06-19 02:09:45.387296+00:00,50.81,7,67,100,13,0,3,mobile,wallet,BR-SAO,4.96,0,0,0,32.15,fashion,0
TXN-100123,2026-06-19 06:22:43.387296+00:00,5.86,16,23,17,17,1,1,tablet,credit_card,US-CA,0.95,0,0,2,30.81,grocery,0
TXN-100124,2026-06-19 07:17:24.387296+00:00,133.24,13,23,339,16,1,0,mobile,debit_card,US-NY,0.77,0,1,2,85.35,luxury,0
TXN-100125,2026-06-19 16:51:14.387296+00:00,156.57,15,75,441,43,0,0,desktop,wallet,SG-SIN,3.79,2,0,16,65.21,grocery,0
TXN-100126,2026-06-19 18:08:26.387296+00:00,50.35,22,20,489,23,0,1,tablet,credit_card,AU-SYD,0.74,1,0,7,47.19,digital_goods,0
TXN-100127,2026-06-19 18:32:13.387296+00:00,36.39,14,48,135,89,0,1,mobile,credit_card,US-TX,2.44,0,0,5,51.48,grocery,0
TXN-100128,2026-06-20 05:23:21.387296+00:00,30.74,12,48,296,26,0,0,mobile,debit_card,US-CA,2.01,2,0,11,49.08,digital_goods,0
TXN-100129,2026-06-20 06:46:33.387296+00:00,47.46,11,32,150,11,0,1,desktop,credit_card,US-NY,2.0,0,0,5,44.64,grocery,0
TXN-100130,2026-06-20 07:49:50.387296+00:00,19.42,19,71,83,31,3,1,mobile,credit_card,US-TX,2.04,1,0,1,27.11,digital_goods,0
TXN-100131,2026-06-20 09:02:22.387296+00:00,153.92,20,44,161,39,2,0,desktop,paypal,AU-SYD,2.84,1,0,5,90.66,digital_goods,0
TXN-100132,2026-06-20 11:56:31.387296+00:00,122.51,9,62,832,59,0,1,mobile,bank_transfer,FR-PAR,1.96,0,0,2,149.41,subscriptions,0
TXN-100133,2026-06-20 15:26:57.387296+00:00,67.22,10,50,720,35,0,0,mobile,debit_card,US-TX,0.66,3,1,9,52.19,subscriptions,1
TXN-100134,2026-06-20 16:52:25.387296+00:00,61.48,17,38,58,3,0,0,mobile,paypal,FR-PAR,1.04,0,0,4,91.64,subscriptions,0
TXN-100135,2026-06-20 18:28:47.387296+00:00,79.11,17,21,205,19,0,2,mobile,wallet,SG-SIN,2.8,0,1,4,109.43,fashion,1
TXN-100136,2026-06-20 19:18:53.387296+00:00,76.37,22,67,417,23,0,0,mobile,paypal,GB-LON,3.31,4,0,11,42.84,subscriptions,0
TXN-100137,2026-06-20 19:53:44.387296+00:00,76.53,21,42,115,97,0,3,mobile,wallet,DE-BER,1.0,3,0,1,36.53,grocery,0
TXN-100138,2026-06-20 21:15:25.387296+00:00,15.35,14,39,87,89,0,0,mobile,wallet,DE-BER,1.91,0,0,5,38.83,luxury,0
TXN-100139,2026-06-21 06:08:43.387296+00:00,80.85,13,35,2743,82,0,1,tablet,debit_card,DE-BER,2.38,1,0,4,56.02,travel,0
TXN-100140,2026-06-21 09:13:46.387296+00:00,298.11,7,70,40,255,0,0,mobile,credit_card,DE-BER,1.28,0,0,1,127.3,grocery,0
TXN-100141,2026-06-21 10:35:27.387296+00:00,66.19,17,51,303,18,0,0,mobile,credit_card,US-CA,1.26,3,1,11,33.18,subscriptions,0
TXN-100142,2026-06-21 12:16:14.387296+00:00,80.36,10,70,141,13,0,0,tablet,credit_card,DE-BER,1.38,6,0,5,80.16,subscriptions,0
TXN-100143,2026-06-21 12:47:56.387296+00:00,68.42,14,29,52,67,0,0,desktop,credit_card,US-TX,3.88,0,0,2,50.39,electronics,0
TXN-100144,2026-06-21 14:04:25.387296+00:00,114.66,21,77,130,3,0,1,mobile,debit_card,BR-SAO,0.24,1,0,7,46.8,subscriptions,0
TXN-100145,2026-06-21 20:08:21.387296+00:00,160.85,9,66,68,57,0,1,mobile,debit_card,IN-DEL,3.28,3,0,1,101.73,travel,0
TXN-100146,2026-06-21 21:01:34.387296+00:00,166.61,14,32,1255,4,0,2,desktop,debit_card,DE-BER,1.16,0,1,0,87.52,luxury,0
TXN-100147,2026-06-21 23:15:38.387296+00:00,98.67,20,51,69,43,0,4,mobile,debit_card,IN-DEL,6.55,0,1,6,165.21,grocery,0
TXN-100148,2026-06-22 02:29:58.387296+00:00,97.38,20,72,331,11,0,1,mobile,debit_card,GB-LON,1.43,0,0,2,82.62,electronics,0
TXN-100149,2026-06-22 05:50:24.387296+00:00,34.58,9,75,793,13,0,2,desktop,wallet,FR-PAR,1.43,4,1,0,55.99,electronics,1
TXN-100150,2026-06-22 11:17:10.387296+00:00,36.42,17,44,38,57,0,1,mobile,credit_card,IN-DEL,4.09,1,0,3,84.46,subscriptions,0
TXN-100151,2026-06-22 18:23:35.387296+00:00,103.87,0,21,792,4,0,0,mobile,debit_card,FR-PAR,3.53,0,0,0,51.19,luxury,0
TXN-100152,2026-06-23 08:48:35.387296+00:00,113.56,22,31,235,13,0,0,desktop,paypal,US-TX,0.46,0,0,1,78.5,electronics,0
TXN-100153,2026-06-23 13:09:03.387296+00:00,41.41,12,33,57,45,0,1,mobile,debit_card,BR-SAO,5.71,0,1,0,44.36,electronics,0
TXN-100154,2026-06-23 17:59:31.387296+00:00,235.26,16,34,119,14,0,0,mobile,credit_card,SG-SIN,1.83,0,0,4,156.69,grocery,0
TXN-100155,2026-06-23 21:13:17.387296+00:00,26.2,21,18,680,3,0,1,mobile,credit_card,FR-PAR,1.32,0,0,6,25.51,electronics,0
TXN-100156,2026-06-23 22:06:43.387296+00:00,28.92,10,75,460,6,0,2,mobile,credit_card,BR-SAO,3.28,1,0,9,50.46,subscriptions,0
TXN-100157,2026-06-24 01:00:14.387296+00:00,29.55,5,18,157,10,0,1,mobile,credit_card,US-TX,0.56,2,0,1,41.32,luxury,0
TXN-100158,2026-06-24 08:52:07.387296+00:00,102.42,12,26,369,1,0,1,mobile,credit_card,GB-LON,2.53,0,0,6,57.1,travel,1
TXN-100159,2026-06-24 11:36:56.387296+00:00,15.71,12,77,199,22,0,0,desktop,paypal,GB-LON,0.99,3,0,15,19.83,travel,0
TXN-100160,2026-06-24 13:29:00.387296+00:00,162.52,11,19,319,14,0,2,mobile,debit_card,GB-LON,1.56,1,0,9,132.13,luxury,0
TXN-100161,2026-06-24 14:28:46.387296+00:00,93.42,16,62,298,5,0,2,tablet,credit_card,SG-SIN,1.9,0,0,12,80.28,electronics,0
TXN-100162,2026-06-24 16:09:33.387296+00:00,45.67,9,68,445,8,0,1,mobile,debit_card,SG-SIN,0.7,2,0,23,73.13,luxury,0
TXN-100163,2026-06-25 08:00:12.387296+00:00,79.52,6,22,302,56,0,3,desktop,paypal,IN-DEL,2.47,3,0,2,61.98,electronics,0
TXN-100164,2026-06-25 08:52:10.387296+00:00,12.85,9,74,130,21,0,1,desktop,bank_transfer,BR-SAO,1.69,0,0,1,29.04,subscriptions,0
TXN-100165,2026-06-25 18:06:45.387296+00:00,38.28,13,54,177,61,0,0,mobile,credit_card,DE-BER,1.5,0,0,11,34.23,luxury,0
TXN-100166,2026-06-25 22:11:23.387296+00:00,43.21,8,66,90,20,0,1,mobile,debit_card,US-CA,3.36,0,0,9,52.5,grocery,0
TXN-100167,2026-06-25 22:51:31.387296+00:00,175.47,16,42,101,9,0,3,mobile,credit_card,GB-LON,6.86,1,0,3,82.39,luxury,0
TXN-100168,2026-06-26 02:42:33.387296+00:00,44.32,1,46,213,60,2,0,mobile,wallet,IN-DEL,0.96,0,0,3,32.86,electronics,1
TXN-100169,2026-06-26 07:21:54.387296+00:00,37.13,13,77,181,51,0,0,desktop,credit_card,US-TX,4.27,2,0,5,33.56,fashion,0
TXN-100170,2026-06-26 08:00:53.387296+00:00,35.81,9,54,4000,3,0,1,tablet,credit_card,GB-LON,3.39,0,1,2,54.78,subscriptions,0
TXN-100171,2026-06-26 09:01:12.387296+00:00,37.02,2,74,124,24,0,2,mobile,debit_card,US-TX,4.29,0,0,2,58.49,travel,0
TXN-100172,2026-06-26 09:43:38.387296+00:00,44.05,3,69,448,100,0,0,mobile,credit_card,US-TX,2.5,2,1,2,54.33,digital_goods,0
TXN-100173,2026-06-26 11:37:14.387296+00:00,52.78,9,30,352,37,0,1,tablet,credit_card,US-NY,3.1,1,0,0,54.32,subscriptions,0
